person,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,favorable,unfavorable,net,adjusted_favorable,adjusted_unfavorable,adjusted_net,url,createddate,timestamp
Elon Musk,All polls,YouGov,,1/8/25,1/12/25,1156, A,0.3296413,0,,44,45,-1,42.38363,44.31395,-1.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/Social_Media_and_Free_Speech_poll_results.pdf,1/12/25,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,11/6/24,11/7/24,2200, RV,0.5499562,0,,42,46,-4,42.08549,46.90515,-4.81966,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,11/7/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,10/8/22,10/11/22,1500, A,0.5321316,0,,46,38,8,44.38363,37.31395,7.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_2022_10_08.pdf,10/11/22,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,1/15/25,1/16/25,2650, RV,1.233329,0,,43,41,2,41.9314,43.64042,-1.709019,https://harvardharrispoll.com/wp-content/uploads/2025/01/HHP_Jan25_KeyResults.pdf,1/16/25,4/13/25 19:19
Elon Musk,All polls,Quinnipiac University,,12/12/24,12/16/24,924, RV,0.9680077,0,,39,44,-5,41.15261,45.06196,-3.909348,https://poll.qu.edu/images/polling/us/us12182024_uvpn19.pdf,12/16/24,4/13/25 19:19
Elon Musk,All polls,Hart Research Associates/Public Opinion Strategies,NBC News,10/30/24,11/2/24,1000, RV,1.222972,0,,37,42,-5,40.25928,42.6562,-2.396919,https://s3.documentcloud.org/documents/25265231/nbc-november-2024-poll.pdf,11/2/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,10/11/24,10/13/24,3145, RV,1.206477,0,,43,40,3,41.9314,42.64042,-0.7090187,https://harvardharrispoll.com/wp-content/uploads/2024/10/HHP_Oct24_KeyResults.pdf,10/13/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,12/13/23,12/14/23,2034, RV,0.869494,0,,49,37,12,47.9314,39.64042,8.290981,https://harvardharrispoll.com/wp-content/uploads/2023/12/HHP_Dec23_KeyResults.pdf,12/14/23,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,1/17/24,1/18/24,2346, RV,0.9924662,0,,47,37,10,45.9314,39.64042,6.290981,https://harvardharrispoll.com/wp-content/uploads/2024/01/HHP_Jan24_KeyResults.pdf,1/18/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,9/4/24,9/5/24,2358, RV,1.091729,0,,45,39,6,43.9314,41.64042,2.290981,https://harvardharrispoll.com/wp-content/uploads/2024/09/HHP_Sep2024_KeyResults.pdf,9/5/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,2/4/24,2/6/24,1591, A,1.112317,0,,49,40,9,47.38363,39.31395,8.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_H1zTWuF.pdf,2/6/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,11/15/23,11/16/23,2851, RV,0.9521266,0,,47,35,12,45.9314,37.64042,8.290981,https://harvardharrispoll.com/wp-content/uploads/2023/11/HHP_Nov23_KeyResults.pdf,11/16/23,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,5/15/24,5/16/24,1660, RV,0.8384818,0,,48,35,13,46.9314,37.64042,9.290981,https://harvardharrispoll.com/wp-content/uploads/2024/05/HHP_May2024_KeyResults.pdf,5/16/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,11/18/23,11/20/23,1500, A,0.9570327,0,,48,40,8,46.38363,39.31395,7.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ewAQzcE.pdf,11/20/23,4/13/25 19:19
Elon Musk,All polls,YouGov,,6/23/23,6/27/23,1000, A,0.7397598,0,,46,40,6,44.38363,39.31395,5.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/crosstabs_Mark_Zuckerberg_and_Elon_Musk.pdf,6/27/23,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,10/12/24,10/15/24,1624, A,0.5526707,0,,44,46,-2,42.38363,45.31395,-2.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,10/15/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,11/23/24,11/26/24,1590, A,0.5264642,0,,50,41,9,48.38363,40.31395,8.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_2w01YV9.pdf,11/26/24,4/13/25 19:19
Elon Musk,All polls,Fabrizio Lee & Associates/Impact Research,Wall Street Journal,1/9/25,1/14/25,1500, RV,1.05411,0,,40,51,-11,39.59896,50.38677,-10.78781,https://prod-i.a.dj.com/public/resources/documents/WSJ-poll-january-2025.pdf,1/14/25,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,5/20/23,5/23/23,1500, A,0.8496848,0,,53,37,16,51.38363,36.31395,15.06968,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_GJtmqAJ.pdf,5/23/23,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,11/8/24,11/11/24,3475, RV,0.635316,0,,43,42,1,43.08549,42.90515,0.1803398,https://pro.morningconsult.com/analysis/trust-in-elections-increased-in-2024-especially-among-republicans,11/11/24,4/13/25 19:19
Elon Musk,All polls,Ipsos,With Honor,2/2/24,2/4/24,1027, A,1.021164,0,,38,46,-8,39.78211,42.69671,-2.9146,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-04/With%20Honor%20Ipsos%20Survey%20Final%20Topline_0.pdf,2/4/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,3/20/24,3/21/24,2111, RV,0.8828128,0,,46,37,9,44.9314,39.64042,5.290981,https://harvardharrispoll.com/wp-content/uploads/2024/03/HHP_Mar2024_KeyResults.pdf,3/21/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,2/21/24,2/22/24,2022, RV,0.9190863,0,,47,37,10,45.9314,39.64042,6.290981,https://harvardharrispoll.com/wp-content/uploads/2024/02/HHP_Feb2024_KeyResults.pdf,2/22/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,9/13/23,9/14/23,2103, RV,1.03964,0,,42,37,5,40.9314,39.64042,1.290981,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,9/14/23,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,12/8/24,12/10/24,1593, A,0.4954086,0,,48,44,4,46.38363,43.31395,3.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_FnFMxED.pdf,12/10/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,3/10/24,3/12/24,1559, A,0.9239482,0,,47,43,4,45.38363,42.31395,3.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Ba6mR1n.pdf,3/12/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,1/12/25,1/14/25,1558, A,0.3644925,0,,43,47,-4,41.38363,46.31395,-4.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pqpVSb2.pdf,1/14/25,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,11/9/23,11/13/23,1000, RV,0.896889,0,,41,43,-2,42.00071,42.00278,-0.0020714,https://navigatorresearch.org/wp-content/uploads/2023/12/Navigator-Toplines-November-2-2023-.pdf,11/13/23,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,5/17/23,5/18/23,2004, RV,0.7807791,0,,47,33,14,45.9314,35.64042,10.29098,https://harvardharrispoll.com/wp-content/uploads/2023/05/HHP_May2023_KeyResults.pdf,5/18/23,4/13/25 19:19
Elon Musk,All polls,Selzer,Grinnell College,3/11/24,3/17/24,1005, A,1.232252,0,,47,37,10,46.10808,37.87817,8.229912,https://www.grinnell.edu/sites/default/files/docs/2024-03/FOR%20THE%20WEBSITE%20%20EMBARGOED%20Selzer%20Co%20GCNP%202283%20Tabulated%20Questionnaire%20v1%203-18-2024_0.pdf,3/17/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,6/16/24,6/18/24,1600, A,0.7344436,0,,41,47,-6,39.38363,46.31395,-6.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_BAWCOh6.pdf,6/18/24,4/13/25 19:19
Elon Musk,All polls,Hart Research Associates/Public Opinion Strategies,NBC News,9/13/24,9/17/24,1000, RV,1.222972,0,,34,45,-11,37.25928,45.6562,-8.396919,https://ropercenter.cornell.edu/ipoll/study/31122100/questions#59589a00-8b0f-44a7-84e5-7a00845e0b71,9/17/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Yahoo News,11/14/24,11/18/24,1612, A,0.5330825,0,,49,39,10,47.38363,38.31395,9.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/20241118_yahoo_full_topline_crosstab.pdf,11/18/24,4/13/25 19:19
Elon Musk,All polls,Cygnal,,12/5/23,12/7/23,2000, LV,1.833443,0,,43.9,36.6,7.300003,43.25009,36.42465,6.825443,https://www.cygn.al/poll-rfk-jr-manchins-impact-on-2024-newsoms-failed-plan-b-experiment-and-party-extremism/,12/7/23,4/13/25 19:19
Elon Musk,All polls,YouGov,,4/14/22,4/14/22,1022, A,0.8587711,0,,49,31,18,47.38363,30.31396,17.06967,https://d3nkl3psvxxpe9.cloudfront.net/documents/elon-musk-twitter-crosstabs.pdf,4/14/22,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,7/27/24,7/30/24,1610, A,0.7223277,0,,41,48,-7,39.38363,47.31395,-7.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5LIBPv8.pdf,7/30/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,6/14/23,6/15/23,2090, RV,0.862015,0,,45,36,9,43.9314,38.64042,5.290981,https://harvardharrispoll.com/wp-content/uploads/2023/06/HHP_June2023_KeyResults.pdf,6/15/23,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,12/18/24,12/19/24,1189, LV,0.5935246,0,,45,48,-3,43.87194,47.43621,-3.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,12/19/24,4/13/25 19:19
Elon Musk,All polls,YouGov,,6/15/24,6/15/24,4091, A,1.080633,0,,40,42,-2,38.38363,41.31395,-2.930321,https://today.yougov.com/topics/economy/survey-results/daily/2024/06/15/e1704/1?_gl=1*kxw42i*_up*MQ..*_ga*MTQzNjUxNzk0NC4xNzQzNjA3NTA0*_ga_X9VN3LD3NE*MTc0MzYwNzUwNC4xLjAuMTc0MzYwNzUwNC4wLjAuMA..,6/15/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,7/8/23,7/11/23,1500, A,0.9502388,0,,45,45,0,43.38363,44.31395,-0.9303207,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_fIf6c6v.pdf,7/11/23,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,11/21/23,11/23/23,2202, RV,1.139625,0,,39,34,5,39.08549,34.90515,4.18034,https://pro.morningconsult.com/analysis/hate-speech-online-brands-social-platforms,11/23/23,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,4/6/24,4/9/24,1795, A,1.09777,0,,44,44,0,42.38363,43.31395,-0.9303207,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_lMxEeEw.pdf,4/9/24,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,2/15/24,2/19/24,1000, RV,0.896889,0,,44,40,4,45.00071,39.00278,5.997929,https://navigatorresearch.org/wp-content/uploads/2024/03/Navigator-Toplines-02.20.2024.pdf,2/19/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,2/15/23,2/16/23,1838, RV,0.7730138,0,,44,36,8,42.9314,38.64042,4.290981,https://harvardharrispoll.com/wp-content/uploads/2023/02/HHP_Feb2023_KeyResults.pdf,2/16/23,4/13/25 19:19
Elon Musk,All polls,Rasmussen Reports,,1/31/23,2/1/23,1000, A,1.142217,0,,53,35,18,49.43561,36.94773,12.48788,https://www.rasmussenreports.com/public_content/business/general_business/63_approve_of_musk_publishing_twitter_files,2/1/23,4/13/25 19:19
Elon Musk,All polls,Ipsos,Reuters,12/13/24,12/15/24,1029, A,0.8238844,0,,38,56,-18,39.78211,52.69671,-12.9146,https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%20Presidential%20Approval%20Tracker%20Dec%202024.pdf,12/15/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,11/13/24,11/14/24,1732, RV,1.087084,0,,42,41,1,40.9314,43.64042,-2.709019,https://harvardharrispoll.com/wp-content/uploads/2024/11/HHP_Nov2024_KeyResults.pdf,11/14/24,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,10/24/24,10/28/24,1000, RV,0.8049359,0,,39,47,-8,40.00071,46.00278,-6.002071,https://navigatorresearch.org/wp-content/uploads/2024/10/Navigator-October-Topline-Results-110424.pdf,10/28/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,6/28/24,6/30/24,2090, RV,0.9596983,0,,44,36,8,42.9314,38.64042,4.290981,https://harvardharrispoll.com/wp-content/uploads/2024/07/HHP_June2024_KeyResults.pdf,6/30/24,4/13/25 19:19
Elon Musk,All polls,Fabrizio Lee & Associates/Impact Research,Wall Street Journal,10/19/24,10/22/24,1500, RV,1.05411,0,,45,45,0,44.59896,44.38677,0.2121925,https://prod-i.a.dj.com/public/resources/documents/WSJ_partial_results_late_Oct_2024.pdf,10/22/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,12/2/23,12/5/23,1500, A,0.9848971,0,,41,46,-5,39.38363,45.31395,-5.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tT4jyzG.pdf,12/5/23,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,7/26/24,7/28/24,2196, RV,0.9943127,0,,45,37,8,43.9314,39.64042,4.290981,https://harvardharrispoll.com/wp-content/uploads/2024/07/HHP_July2024_KeyResults.pdf,7/28/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,4/18/23,4/19/23,1845, RV,0.7433267,0,,44,37,7,42.9314,39.64042,3.290981,https://harvardharrispoll.com/wp-content/uploads/2023/04/HHP_April2023_KeyResults.pdf,4/19/23,4/13/25 19:19
Elon Musk,All polls,Cygnal,,1/9/25,1/12/25,1500, LV,1.468512,0,,43.2,47.8,-4.599998,42.55009,47.62465,-5.074558,https://www.cygn.al/wp-content/uploads/2025/01/22827-Cygnal-National-NVT-Jan25-Deck.pdf,1/12/25,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,11/13/24,11/14/24,1198, LV,0.8953534,0,,47,44,3,45.87194,43.43621,2.43573,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,11/14/24,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,8/22/24,8/25/24,1000, RV,0.8741556,0,,40,46,-6,41.00071,45.00278,-4.002071,https://navigatorresearch.org/wp-content/uploads/2024/09/Navigator-August-2-Topline-F09.17.24-PR.pdf,8/25/24,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,4/28/22,5/2/22,1000, RV,0.896889,0,,47,29,18,48.00071,28.00279,19.99792,https://navigatorresearch.org/wp-content/uploads/2022/05/Navigator-May-Tracker-Topline-F05.13.22.pdf,5/2/22,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,12/14/24,12/15/24,1195, LV,0.6215026,0,,44,47,-3,42.87194,46.43621,-3.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,12/15/24,4/13/25 19:19
Elon Musk,All polls,AP-NORC,,12/5/24,12/9/24,1251, A,1.05818,0,,41,51,-10,42.62855,49.31007,-6.681519,https://apnorc.org/wp-content/uploads/2025/01/December-2024-topline_vote-confidence.pdf,12/9/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,1/18/23,1/19/23,2050, RV,0.9432739,0,,44,39,5,42.9314,41.64042,1.290981,https://harvardharrispoll.com/wp-content/uploads/2023/01/HHP_Jan2023_KeyResults.pdf,1/19/23,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,7/21/24,7/23/24,1605, A,0.7066751,0,,40,49,-9,38.38363,48.31395,-9.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_brdog5G.pdf,7/23/24,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,1/10/25,1/11/25,1201, LV,0.4828137,0,,44,48,-4,42.87194,47.43621,-4.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,1/11/25,4/13/25 19:19
Elon Musk,All polls,Cygnal,,12/9/24,12/11/24,1500, LV,1.563231,0,,45.2,47.8,-2.599998,44.55009,47.62465,-3.074558,https://www.cygn.al/wp-content/uploads/2024/12/Cygnal-National-NVT-Dec24-Deck-Public.pdf,12/11/24,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,9/12/24,9/13/24,1283, LV,1.123686,0,,48,41,7,46.87194,40.43621,6.43573,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,9/13/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,7/19/23,7/20/23,2068, RV,1.020992,0,,44,35,9,42.9314,37.64042,5.290981,https://harvardharrispoll.com/wp-content/uploads/2023/07/HHP_July2023_KeyResults.pdf,7/20/23,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,1/5/25,1/8/25,1704, A,0.3932276,0,,43,46,-3,41.38363,45.31395,-3.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_gsOVPsO.pdf,1/8/25,4/13/25 19:19
Elon Musk,All polls,Quinnipiac University,,12/8/24,12/12/24,1614, A,1.208378,0,,36,33,3,38.15261,34.06196,4.090652,https://poll.qu.edu/images/polling/us/us12142022_uhlv24.pdf,12/12/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,12/29/24,12/31/24,1552, A,0.4012865,0,,48,41,7,46.38363,40.31395,6.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Goy6hsR.pdf,12/31/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,6/18/22,6/21/22,1500, A,0.8447928,0,,46,36,10,44.38363,35.31395,9.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/20220618_econTabReport_revised.pdf,6/21/22,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,7/16/22,7/19/22,1500, A,0.7684546,0,,43,38,5,41.38363,37.31395,4.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1BPBnRZ.pdf,7/19/22,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,6/2/23,6/5/23,1000, RV,0.7118287,0,,40,44,-4,41.00071,43.00278,-2.002071,https://navigatorresearch.org/wp-content/uploads/2023/06/Navigator-Toplines-06.06.2023.pdf,6/5/23,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,9/8/24,9/10/24,1626, A,0.7458375,0,,43,45,-2,41.38363,44.31395,-2.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,9/10/24,4/13/25 19:19
Elon Musk,All polls,YouGov,,12/5/22,12/8/22,1000, A,0.4992786,0,,40,40,0,38.38363,39.31395,-0.9303207,https://d3nkl3psvxxpe9.cloudfront.net/documents/tabs_Elon_Musk_and_Social_Media_20221205.pdf,12/8/22,4/13/25 19:19
Elon Musk,All polls,AP-NORC,,1/9/25,1/13/25,1147, A,1.02364,0,,36,52,-16,37.62855,50.31007,-12.68152,https://apnorc.org/wp-content/uploads/2025/01/January-2025-topline.pdf,1/13/25,4/13/25 19:19
Elon Musk,All polls,YouGov,,10/11/24,10/11/24,5037, A,0.8691383,0,,45,40,5,43.38363,39.31395,4.069679,https://today.yougov.com/topics/economy/survey-results/daily/2024/10/11/3d90e/1?_gl=1*kxw42i*_up*MQ..*_ga*MTQzNjUxNzk0NC4xNzQzNjA3NTA0*_ga_X9VN3LD3NE*MTc0MzYwNzUwNC4xLjAuMTc0MzYwNzUwNC4wLjAuMA..,10/11/24,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,7/6/23,7/10/23,1000, RV,0.7576612,0,,39,45,-6,40.00071,44.00278,-4.002071,https://navigatorresearch.org/wp-content/uploads/2023/07/Navigator-Toplines-07.11.2023.pdf,7/10/23,4/13/25 19:19
Elon Musk,All polls,Hart Research Associates/Public Opinion Strategies,NBC News,4/12/24,4/16/24,1000, RV,1.270486,0,,30,38,-8,33.25928,38.6562,-5.396919,https://s3.documentcloud.org/documents/24564257/240126-nbc-april-2024-poll-4-21-2024-release.pdf,4/16/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,1/19/25,1/21/25,1609, A,0.3592637,0,,46,46,0,44.38363,45.31395,-0.9303207,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_cN0yvyg.pdf,1/21/25,4/13/25 19:19
Elon Musk,All polls,Marist College,NPR | PBS News,1/7/25,1/9/25,1387, A,1.431166,0,,37,46,-9,38.32991,46.47902,-8.149109,https://maristpoll.marist.edu/wp-content/uploads/2025/01/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202501101322.pdf,1/9/25,4/13/25 19:19
Elon Musk,All polls,Echelon Insights,,11/14/24,11/18/24,1010, LV,1.249126,0,,46,43,3,45.23893,44.0299,1.20903,https://echelonin.wpenginepowered.com/wp-content/uploads/November-2024-Voter-Omnibus-PUCK-Topline.pdf,11/18/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,4/24/24,4/25/24,1961, RV,0.8823903,0,,44,39,5,42.9314,41.64042,1.290981,https://harvardharrispoll.com/wp-content/uploads/2024/04/HHP_Apr2024_KeyResults.pdf,4/25/24,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,9/17/23,9/19/23,1500, A,1.238586,0,,43,45,-2,41.38363,44.31395,-2.930321,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_xf4D6qH.pdf,9/19/23,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,12/6/24,12/8/24,2270, RV,0.5001014,0,,45,43,2,45.08549,43.90515,1.18034,https://pro.morningconsult.com/analysis/2028-gop-primary-polling-december-2024,12/8/24,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,10/19/23,10/19/23,2116, RV,0.8727095,0,,44,36,8,42.9314,38.64042,4.290981,https://harvardharrispoll.com/wp-content/uploads/2023/10/HHP_Oct23_KeyResults.pdf,10/19/23,4/13/25 19:19
Elon Musk,All polls,YouGov,Economist,10/16/22,10/18/22,1500, A,0.5196958,0,,43,40,3,41.38363,39.31395,2.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_2Uxgdbg.pdf,10/18/22,4/13/25 19:19
Elon Musk,All polls,Global Strategy Group/GBAO (Navigator Research),,1/9/25,1/13/25,1000, RV,0.6273885,0,,42,48,-6,43.00071,47.00278,-4.002071,https://navigatorresearch.org/wp-content/uploads/2025/01/Navigator-Update-Topline-F01.13.25.pdf,1/13/25,4/13/25 19:19
Elon Musk,All polls,YouGov,,9/16/22,9/19/22,1000, A,0.5049947,0,,46,38,8,44.38363,37.31395,7.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/crosstabs_Billionaires_and_Wealth.pdf,9/19/22,4/13/25 19:19
Elon Musk,All polls,Harris Insights & Analytics,Harvard CAPS,3/22/23,3/23/23,2905, RV,0.872165,0,,45,36,9,43.9314,38.64042,5.290981,https://harvardharrispoll.com/wp-content/uploads/2023/03/HHP_March_2023_KeyResults.pdf,3/23/23,4/13/25 19:19
Elon Musk,All polls,YouGov,,12/8/22,12/13/22,1000, A,0.5178707,0,,42,39,3,40.38363,38.31395,2.069679,https://d3nkl3psvxxpe9.cloudfront.net/documents/Elon_Musk_Twitter_Polls_December_8_13_2022.pdf,12/13/22,4/13/25 19:19
Elon Musk,All polls,Morning Consult,,11/27/24,11/30/24,2271, RV,0.4912071,0,,45,45,0,45.08549,45.90515,-0.8196602,https://pro.morningconsult.com/analysis/rfk-jr-hhs-polling-november-2024,11/30/24,4/13/25 19:19
Elon Musk,All polls,Data for Progress,,1/17/25,1/18/25,1205, LV,0.4352148,0,,44,49,-5,42.87194,48.43621,-5.56427,https://www.dataforprogress.org/datasets/polling-on-attitudes-towards-trump-and-musk,1/18/25,4/13/25 19:19